file,artist,genre,style,cluster_200
Art_Nouveau_Modern/raphael-kirchner_cigarettes-of-the-world-1900-2.jpg,19,139,143,6
Realism/vincent-van-gogh_sand-diggers-1882.jpg,22,137,161,6
Realism/max-liebermann_walther-nernst.jpg,0,135,161,6
Art_Nouveau_Modern/aubrey-beardsley_rejane.jpg,81,131,143,6
Baroque/rembrandt_presentation-in-the-temple-1654.jpg,20,136,144,6
High_Renaissance/titian_apostles-group.jpg,77,137,151,6
Expressionism/pablo-picasso_portrait-of-la-scala-master-of-ballet-1925.jpg,15,135,149,6
Realism/vincent-van-gogh_idol-2.jpg,22,134,161,6
Expressionism/kathe-kollwitz_not_detected_235968.jpg,0,131,149,6
Romanticism/gustave-dore_the-lion.jpg,7,132,163,6
Northern_Renaissance/albrecht-durer_emperor-charlemagne-and-emperor-sigismund.jpg,25,135,157,6
Post_Impressionism/vincent-van-gogh_people-walking-in-front-of-snow-covered-cottage-2-1890.jpg,22,137,160,6
Romanticism/gustave-dore_ugolino-ii(1).jpg,7,132,163,6
Romanticism/gustave-dore_don-quixote-140.jpg,7,132,163,6
Post_Impressionism/vincent-van-gogh_head-of-an-old-man.jpg,22,137,160,6
Romanticism/francisco-goya_the-old-woman-with-a-mirror.jpg,35,131,163,6
Realism/thomas-eakins_sketch-for-maybelle-1898.jpg,33,137,161,6
Romanticism/francisco-goya_consequences-of-war.jpg,0,139,163,6
Romanticism/karl-bodmer_wahk-ta-ge-li-a-sioux-warrior-plate-8-from-volume-2-of-travels-in-the-interior-of-north-america-1844.jpg,0,135,163,6
Post_Impressionism/vincent-van-gogh_houses-among-trees-with-a-figure-1890.jpg,22,137,160,6
Symbolism/pierre-puvis-de-chavannes_fresco-for-the-decoration-of-the-pantheon-saints-detail.jpg,0,136,164,6
Realism/john-singer-sargent_gordon-greenough-1880.jpg,11,137,161,6
Romanticism/gustave-dore_the-gluttons.jpg,7,132,163,6
Art_Nouveau_Modern/aubrey-beardsley_the-toilette-of-salome.jpg,81,132,143,6
Expressionism/kathe-kollwitz_revolt-by-the-gates-of-a-park-1897.jpg,0,131,149,6
Northern_Renaissance/albrecht-durer_sudarium-displayed-by-two-angels-1513.jpg,25,136,157,6
Romanticism/gustave-dore_the-destruction-of-leviathan.jpg,7,136,163,6
Symbolism/pierre-puvis-de-chavannes_not-detected-258401.jpg,0,139,164,6
Romanticism/jan-matejko_wladyslaw-the-short-2.jpg,40,135,163,6
Romanticism/gustave-dore_don-quixote-19.jpg,7,132,163,6
