file,artist,genre,style,cluster_200
Realism/vincent-van-gogh_sand-diggers-1882.jpg,22,137,161,0
Realism/max-liebermann_walther-nernst.jpg,0,135,161,0
Art_Nouveau_Modern/aubrey-beardsley_rejane.jpg,81,131,143,0
Baroque/rembrandt_presentation-in-the-temple-1654.jpg,20,136,144,0
High_Renaissance/titian_apostles-group.jpg,77,137,151,0
Realism/vincent-van-gogh_idol-2.jpg,22,134,161,0
Expressionism/kathe-kollwitz_not_detected_235968.jpg,0,131,149,0
Romanticism/gustave-dore_ugolino-ii(1).jpg,7,132,163,0
Romanticism/gustave-dore_don-quixote-140.jpg,7,132,163,0
Realism/thomas-eakins_sketch-for-maybelle-1898.jpg,33,137,161,0
Romanticism/karl-bodmer_wahk-ta-ge-li-a-sioux-warrior-plate-8-from-volume-2-of-travels-in-the-interior-of-north-america-1844.jpg,0,135,163,0
Realism/james-tissot_sunday-morning.jpg,55,135,161,0
Post_Impressionism/vincent-van-gogh_houses-among-trees-with-a-figure-1890.jpg,22,137,160,0
Art_Nouveau_Modern/anna-ostroumova-lebedeva_view-on-the-neva-river-and-the-stock-exchange-building-from-the-trinity-bridge-1926.jpg,0,130,143,0
Realism/felix-vallotton_reclining-nude-on-a-couch.jpg,89,134,161,0
Symbolism/odilon-redon_maurice-denis-1903.jpg,66,135,164,0
Romanticism/gustave-dore_the-gluttons.jpg,7,132,163,0
Art_Nouveau_Modern/aubrey-beardsley_the-toilette-of-salome.jpg,81,132,143,0
Expressionism/kathe-kollwitz_revolt-by-the-gates-of-a-park-1897.jpg,0,131,149,0
Northern_Renaissance/albrecht-durer_sudarium-displayed-by-two-angels-1513.jpg,25,136,157,0
Romanticism/gustave-dore_the-destruction-of-leviathan.jpg,7,136,163,0
Romanticism/jan-matejko_wladyslaw-the-short-2.jpg,40,135,163,0
Romanticism/gustave-dore_don-quixote-19.jpg,7,132,163,0
Baroque/rembrandt_the-omval-1645.jpg,20,133,144,0
Baroque/anthony-van-dyck_nicolaas-rockox.jpg,114,137,144,0
Mannerism_Late_Renaissance/maerten-van-heemskerck_sack-of-rome-1527.jpg,0,139,153,0
Rococo/william-hogarth_times-of-the-day-noon-1738.jpg,0,131,162,0
Symbolism/victor-hugo_the-wave-or-my-destiny-1857.jpg,0,139,164,0
Northern_Renaissance/martin-schongauer_head-of-a-high-priest.jpg,0,135,157,0
Northern_Renaissance/hans-baldung_the-erection-of-the-cross-1507.jpg,0,136,157,0
Art_Nouveau_Modern/aubrey-beardsley_no-5.jpg,0,139,143,0
Baroque/rembrandt_a-young-man-seated-and-standing-the-walking-trainer-1646.jpg,20,137,144,0
Northern_Renaissance/albrecht-durer_allegory-of-eloquence.jpg,0,139,157,0
Romanticism/francisco-goya_this-is-worse-1815.jpg,0,139,163,0
Northern_Renaissance/albrecht-durer_apostle.jpg,25,136,157,0
Baroque/pietro-da-cortona_title-page-from-the-flora.jpg,0,132,144,0
Baroque/rembrandt_portrait-of-clement-de-jonge-1651.jpg,20,135,144,0
Expressionism/emil-nolde_portrait-of-south-sea-islander-1.jpg,0,135,149,0
Rococo/william-hogarth_a-harlot-s-progress-plate-5.jpg,0,131,162,0
Northern_Renaissance/pieter-bruegel-the-elder_wooded-region-1566.jpg,0,131,157,0
Ukiyo_e/katsushika-hokusai_a-woman-in-shinto-shrine-has-a-stick-with-a-lot-of-paper-leaves.jpg,95,131,166,0
Pop_Art/george-segal_street-crossing-1992.jpg,0,139,159,0
Realism/vasily-perov_drowned-1867-1.jpg,65,137,161,0
Realism/vincent-van-gogh_man-with-a-sack-of-wood-1881.jpg,22,137,161,0
Romanticism/francisco-goya_tantalus-1799.jpg,0,139,163,0
Romanticism/gustave-dore_jacob-keeping-laban-s-flock-1866.jpg,7,136,163,0
Rococo/william-hogarth_a-midnight-modern-conversation.jpg,0,131,162,0
Romanticism/gustave-dore_brunetto-latini(1).jpg,7,132,163,0
Post_Impressionism/georges-seurat_the-ploughman.jpg,47,131,160,0
Symbolism/odilon-redon_fallen-angel-1872.jpg,0,139,164,0
Romanticism/gustave-dore_don-quixote-148.jpg,7,132,163,0
Symbolism/james-tissot_miriam-shut-out-from-the-camp.jpg,55,136,164,0
Realism/vasily-polenov_christ-and-the-sinner-1873.jpg,56,136,161,0
Romanticism/theodore-gericault_the-bagpipe-player.jpg,0,135,163,0
