file,artist,genre,style,cluster
Symbolism/nicholas-roerich_patrol-1905.jpg,14,131,164,2
Impressionism/claude-monet_dolceacqua-bridge.jpg,4,130,152,2
Realism/boris-kustodiev_venice-1907.jpg,1,130,161,2
Romanticism/gustave-dore_invocation-to-muhammad.jpg,7,132,163,2
Post_Impressionism/vincent-van-gogh_the-house-of-pere-pilon-1890.jpg,22,133,160,2
Post_Impressionism/pyotr-konchalovsky_at-the-ilmen-lake-1928.jpg,18,131,160,2
Impressionism/eugene-boudin_antwerp-the-schelde.jpg,6,130,152,2
Impressionism/john-singer-sargent_palace-and-gardens-spain-1912.jpg,11,130,152,2
Impressionism/claude-monet_anglers-on-the-seine-at-poissy(1).jpg,4,131,152,2
Art_Nouveau_Modern/nicholas-roerich_uglich-church-of-prince-dmitry-1904.jpg,14,130,143,2
Cubism/paul-cezanne_farm-at-montgeroult-1898.jpg,16,130,147,2
Romanticism/paul-cezanne_the-robbers-and-the-donkey.jpg,16,131,163,2
Realism/pyotr-konchalovsky_children-in-the-studio-1947.jpg,18,139,161,2
Expressionism/martiros-saryan_bulls-1903.jpg,13,133,149,2
Impressionism/claude-monet_rio-della-salute-03.jpg,4,130,152,2
Impressionism/childe-hassam_the-sea.jpg,3,133,152,2
Symbolism/nicholas-roerich_lamayuru-monastery-1925.jpg,14,133,164,2
Impressionism/pierre-auguste-renoir_the-farm-1914.jpg,17,131,152,2
Post_Impressionism/pyotr-konchalovsky_novgorod-detinets-1925.jpg,18,130,160,2
Analytical_Cubism/pablo-picasso_clarinet-1911.jpg,15,138,142,2
Impressionism/claude-monet_three-fishing-boats.jpg,4,139,152,2
Romanticism/gustave-dore_the-levite-carries-the-woman-s-body-away.jpg,7,136,163,2
Impressionism/john-singer-sargent_a-boating-party.jpg,11,131,152,2
Realism/john-singer-sargent_general-officers-of-world-war-i-1922.jpg,11,135,161,2
Realism/vincent-van-gogh_churchyard-in-winter-1883(1).jpg,22,130,161,2
Post_Impressionism/vincent-van-gogh_three-white-cottages-in-saintes-maries-1888.jpg,22,133,160,2
Impressionism/john-singer-sargent_palazzo-labia-venice-1913.jpg,11,130,152,2
Impressionism/claude-monet_san-giorgio-maggiore-2.jpg,4,130,152,2
Art_Nouveau_Modern/nicholas-roerich_old-pskov-1904.jpg,14,130,143,2
Romanticism/gustave-dore_began-to-build-a-vessel-of-huge-bulk.jpg,7,136,163,2
Baroque/rembrandt_winter-landscape-1646.jpg,20,133,144,2
Expressionism/salvador-dali_woman-at-the-window-in-figueras-1926.jpg,21,131,149,2
Art_Nouveau_Modern/nicholas-roerich_foreign-lords-1907-1.jpg,14,131,143,2
Cubism/pablo-picasso_head-of-a-man-1908-1.jpg,15,135,147,2
Impressionism/camille-pissarro_the-pont-neuf-1901.jpg,2,130,152,2
Symbolism/nicholas-roerich_gundla-1931.jpg,14,133,164,2
Symbolism/martiros-saryan_aragats-1922.jpg,13,133,164,2
Impressionism/eugene-boudin_criqueboeuf-the-church.jpg,6,133,152,2
Expressionism/salvador-dali_the-fossilised-automobile-of-cape-creus-1936.jpg,21,131,149,2
Symbolism/nicholas-roerich_suburgan-of-tashiding-1924.jpg,14,133,164,2
Symbolism/nicholas-roerich_warrior.jpg,14,131,164,2
Impressionism/john-singer-sargent_giudecca.jpg,11,139,152,2
Impressionism/claude-monet_view-of-le-havre-1873.jpg,4,130,152,2
Romanticism/gustave-dore_sodom.jpg,7,136,163,2
Impressionism/camille-pissarro_view-of-duquesne-and-berrigny-basins-in-dieppe-1902.jpg,2,130,152,2
Symbolism/nicholas-roerich_church-of-assumption-in-pskov.jpg,14,130,164,2
Realism/ilya-repin_street-in-tiflis-1881.jpg,8,130,161,2
Impressionism/claude-monet_the-old-rue-de-la-chaussee-argenteuil.jpg,4,130,152,2
Post_Impressionism/pyotr-konchalovsky_landscape-with-the-railway-1935.jpg,18,133,160,2
Symbolism/nicholas-roerich_tsong-kha-pa-1924.jpg,14,136,164,2
Impressionism/pierre-auguste-renoir_earthenware-virgin-and-child.jpg,17,136,152,2
Impressionism/childe-hassam_mount-vernon-street-boston.jpg,3,130,152,2
Expressionism/pyotr-konchalovsky_siena-the-urban-landscape-1912.jpg,18,130,149,2
